series,year,emissions (thousand tonnes)
PM10,1970,689.4441808
PM10,1971,634.1621341
PM10,1972,560.9694777
PM10,1973,584.8539377
PM10,1974,531.6863499
PM10,1975,503.9607315
PM10,1976,492.3739936
PM10,1977,486.6122988
PM10,1978,476.5916391
PM10,1979,479.7340752
PM10,1980,441.5809468
PM10,1981,423.5901134
PM10,1982,414.401295
PM10,1983,408.630613
PM10,1984,365.2882431
PM10,1985,403.2742826
PM10,1986,414.7526489
PM10,1987,405.4815127
PM10,1988,397.6590629
PM10,1989,399.6353974
PM10,1990,370.816681
PM10,1991,367.9702722
PM10,1992,345.0076801
PM10,1993,318.5002642
PM10,1994,299.451641
PM10,1995,275.2426101
PM10,1996,273.4110608
PM10,1997,254.341126
PM10,1998,241.7996656
PM10,1999,233.7307803
PM10,2000,220.6659137
PM10,2001,224.8031392
PM10,2002,195.8977056
PM10,2003,208.0361533
PM10,2004,191.1188201
PM10,2005,185.551212
PM10,2006,180.1431539
PM10,2007,169.1956147
PM10,2008,154.5765986
PM10,2009,141.8027681
PM10,2010,151.0628192
PM10,2011,140.5585107
PM10,2012,135.1345603
PM10,2013,142.1886529
PM10,2014,136.4442136
PM10,2015,133.6401329
PM10,2016,134.566534
PM10,2017,139.9369956
PM10,2018,135.5038945
PM10,2019,131.9287265
PM10,2020,115.5977469
PM10,2021,122.2450021
PM10,2022,122.6339916
PM10,2023,112.523505
PM2.5,1970,545.7867865
PM2.5,1971,483.8347318
PM2.5,1972,424.8252598
PM2.5,1973,432.1991855
PM2.5,1974,400.9671932
PM2.5,1975,354.4180573
PM2.5,1976,347.7147388
PM2.5,1977,345.1682891
PM2.5,1978,331.9321104
PM2.5,1979,339.4719979
PM2.5,1980,301.1428487
PM2.5,1981,286.6517124
PM2.5,1982,282.0012754
PM2.5,1983,272.4287316
PM2.5,1984,245.8150786
PM2.5,1985,270.731861
PM2.5,1986,281.755537
PM2.5,1987,259.0685019
PM2.5,1988,253.8593101
PM2.5,1989,250.6308133
PM2.5,1990,228.5384403
PM2.5,1991,226.9664858
PM2.5,1992,216.307754
PM2.5,1993,200.9093705
PM2.5,1994,190.7010362
PM2.5,1995,171.9060749
PM2.5,1996,168.0829628
PM2.5,1997,157.0779785
PM2.5,1998,150.3561421
PM2.5,1999,145.0687759
PM2.5,2000,130.9351604
PM2.5,2001,128.2848693
PM2.5,2002,112.3613714
PM2.5,2003,110.916353
PM2.5,2004,107.1450625
PM2.5,2005,105.1190535
PM2.5,2006,103.0391791
PM2.5,2007,96.8505838
PM2.5,2008,90.13472943
PM2.5,2009,81.41462367
PM2.5,2010,82.5511054
PM2.5,2011,77.54172333
PM2.5,2012,77.68393024
PM2.5,2013,77.817976
PM2.5,2014,74.02459455
PM2.5,2015,72.1004645
PM2.5,2016,69.49370436
PM2.5,2017,69.74804127
PM2.5,2018,69.87590548
PM2.5,2019,66.80611161
PM2.5,2020,59.77181399
PM2.5,2021,61.7096512
PM2.5,2022,59.58648971
PM2.5,2023,55.88268407
ERC 2020-2029,2020,73.58333746
ERC 2020-2029,2021,73.58333746
ERC 2020-2029,2022,73.58333746
ERC 2020-2029,2023,73.58333746
ERC 2020-2029,2024,73.58333746
ERC 2020-2029,2025,73.58333746
ERC 2020-2029,2026,73.58333746
ERC 2020-2029,2027,73.58333746
ERC 2020-2029,2028,73.58333746
ERC 2020-2029,2029,73.58333746
